Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD]
1990;-0.534200;0.676679;-0.187369;0.389450;0.553148;1.357116;0.571286;0.807354
2000;0.637233;0.619671;-0.458346;1.134463;-0.198785;0.186125;0.109770;-0.312784
2010;0.595473;-0.507848;-0.129016;-0.584236;0.724632;0.516009;-1.167924;0.318047
2020;-0.241211;-0.196335;0.357982;1.228347;0.187684;0.367378;-0.338669;1.130851
2030;1.051253;0.159945;-0.399289;0.345604;-0.199765;0.235072;-0.364071;-1.150616
2040;-0.322960;1.852119;-0.629049;-0.427750;-0.387277;-1.247067;-0.577699;-0.105498
2050;0.254364;-0.230858;-0.764013;-0.272274;0.808945;0.229361;0.999983;0.908468
2060;-0.393487;0.095251;-1.344403;0.065214;-0.218173;1.496440;0.502964;-0.788459
2070;0.506880;0.573140;-0.030731;0.938686;0.502763;0.203487;0.702921;-0.017521
2080;0.474420;-1.303221;-0.144113;-1.589694;0.465581;-0.307447;0.482174;0.289831
2090;0.719250;-0.435887;1.206095;-0.239624;-0.677015;-0.078384;0.387668;-0.231830
2100;-0.014178;-0.296062;-0.478351;-0.926428;0.176202;-0.363582;-0.323198;-0.419146
2110;-0.485610;0.550041;0.029443;-0.175178;-0.543099;0.711119;-0.613367;0.012635
2120;0.155821;0.669411;0.838046;-0.244294;0.621871;-0.217532;1.152294;-0.182385
2130;0.169836;-0.024668;0.126591;-0.138908;-0.439221;-0.967040;0.323818;0.624451
2140;0.068823;-0.219457;0.646207;-0.033142;-0.862471;-0.712714;-0.251975;1.342369
2150;0.132559;-0.695854;-0.318617;0.552511;-0.107536;-0.369859;0.054961;0.360700
2160;-0.010523;0.655412;-0.023385;0.113408;-0.178695;-0.364487;-0.611271;0.017580
2170;0.108222;0.189905;-0.650106;-1.350077;-0.408736;-0.931837;-0.078326;-0.082148
2180;-0.175550;-0.628609;-0.019298;1.076269;0.009409;0.064070;0.497304;0.200259
2190;0.037334;-0.095716;0.048323;-0.724799;0.576409;-0.567844;0.283220;0.785443
2200;0.379091;0.861373;-1.181233;0.522467;-0.088812;0.130706;0.979654;0.941722
2210;-0.245944;-0.049075;0.290111;-0.268963;0.082931;-1.246151;0.455498;0.486409
2220;0.000510;0.379388;-0.554604;-0.789823;0.170767;-0.807808;-0.260959;1.445142
2230;0.043244;-1.092942;-1.108886;1.309611;0.396553;-0.655173;-0.018407;-0.020835
2240;-0.645894;0.152775;-0.523837;0.417881;-0.895373;0.323964;0.411302;0.510258
