Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
1940;1.241420;1.188271;1.457833;0.596198;1.272276;1.758139;1.675956;0.365955;1.754030;0.593238
1950;-0.099544;1.509999;0.730831;0.797863;-0.305312;2.169796;1.603093;1.307213;0.736929;1.010018
1960;0.153542;1.292461;1.363648;1.651367;0.710698;0.906971;1.313969;1.422895;1.293896;0.536448
1970;1.118173;1.053150;1.794831;0.745615;1.648434;-0.250202;1.280812;1.000482;0.686665;0.867937
1980;1.265984;1.098073;0.895193;2.137476;0.736414;0.910628;1.126276;1.363449;1.465996;0.730420
1990;0.745298;1.032621;1.629299;0.209742;1.273291;1.118933;1.726604;0.424987;1.328063;0.552819
2000;0.513558;1.497632;0.415364;0.700924;0.380283;0.834704;0.876336;1.299884;1.483623;0.272446
2010;1.014819;1.105315;1.127123;0.548603;0.656625;1.719973;2.343333;1.008133;0.615622;0.297765
2020;0.984421;1.077194;1.550239;0.613619;0.401033;0.604897;-0.121892;0.647592;1.573601;0.898759
2030;0.562557;1.426745;0.876091;0.858247;0.933687;0.825282;1.485534;0.171321;0.881017;1.011083
2040;0.187975;1.025250;0.036134;1.148947;0.985062;0.468198;1.415592;0.316146;1.741876;1.275918
2050;0.798426;0.366192;1.763005;1.487650;0.341843;1.995522;-0.439322;0.436295;1.492265;0.927751
2060;0.881092;0.427993;1.660825;0.279360;1.008365;0.952623;0.624626;0.747264;0.666446;0.504672
2070;1.244034;1.907529;0.226643;0.377073;0.347251;1.284399;0.897768;1.489151;1.042915;1.449007
